,S/No.,Date,Closing Price,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6
490,293,11/17/2020,1882.52,gold ticks higher on surging coronavirus cases,gold range-bound as vaccine cheer offsets pandemic resurgence,gold eases as vaccine optimism counters rising virus cases,"gold dips as vaccine hopes offset softer dollar, virus woes",#N/A,#N/A
491,292,11/18/2020,1871.7,"gold dips on firmer dollar, covid-19 vaccine hopes",gold dips as vaccine progress offset worries over rising cases,gold slips on pfizer boost to risk appetite,rpt-gold listless as investors weigh vaccine cheer against rising cases,"gold range-bound, caught between vaccine hopes and rising virus cases",#N/A
492,291,11/19/2020,1863.2,gold dips as mnuchin stems fed's pandemic lending program,"gold falls on stronger dollar, economic rebound hopes","gold slips on firmer dollar, vaccine boost to economic outlook",gold at 1-week low as hopes rise of more rapid economic recovery,#N/A,#N/A
493,290,11/20/2020,1870.82,gold firms as mnuchin rekindles u.s. stimulus hopes,"gold set for second weekly dip on end of fed stimulus, vaccine optimism","gold set to extend weekly fall on stimulus doubts, vaccine hopes",#N/A,#N/A,#N/A
494,289,11/23/2020,1835.46,"gold dips as vaccine hopes, strong u.s. data signal recovery","gold at 4-mth low as strong u.s. data, vaccine trials boost recovery hopes",gold dips as astrazeneca adds to vaccine optimism,"gold gains as dollar dips, investors bet on stimulus",#N/A,#N/A
495,288,11/24/2020,1809.3,gold inches higher from over 4-month low as dollar weakens,gold extends fall as investors shift to 'risk on' mode,gold dips to four-month low as vaccine hopes take centre stage,"gold falls on hopes for vaccine, smooth biden transition",#N/A,#N/A
496,287,11/25/2020,1808.34,"gold edges up as recovery hopes ebb on u.s. jobs data, virus concerns",gold holds steady as weak u.s. data pauses wall street rally,gold edges up as weaker dollar offsets vaccine optimism,"gold falls as biden transition, vaccine hopes erode appeal",#N/A,#N/A
497,286,11/26/2020,1809.32,gold steadies as vaccine doubts weigh on recovery outlook,"gold rises on soft dollar, stimulus bets as virus risks grow","gold gains as u.s. jobs data, virus fears fuel stimulus hopes",#N/A,#N/A,#N/A
498,285,11/27/2020,1789.03,"gold dives below $1,800 on optimism for economic recovery",gold faces worst week in two months as vaccine optimism weighs,gold on track for weekly fall as investors overlook vaccine doubts,#N/A,#N/A,#N/A
499,284,11/30/2020,1778.8,gold inches higher as virus spike hits vaccine optimism,gold set for worst month since 2016 on vaccine optimism,gold spirals lower on vaccine-led economic recovery bets,vaccine optimism puts gold on course for worst month in 4 years,#N/A,#N/A
500,283,12/01/2020,1811.3,gold edges down on vaccine prospects; investors eye stimulus,"gold jumps 2%, silver up 6% as dollar slides","gold bounces off 5-month low on weaker dollar, virus woes",gold rebounds off 5-month low as virus spurt threatens economic recovery,#N/A,#N/A
501,282,12/02/2020,1830.85,gold prices slip as vaccine progress dents bullion's appeal,"gold rises on stimulus bets, subdued dollar","gold hits one-week high on muted dollar, u.s. stimulus hopes",gold steadies as investors cautiously eye u.s. stimulus,#N/A,#N/A
502,281,12/03/2020,1839.9,gold nudges higher as investors pin hopes on u.s. stimulus,"gold firms on stimulus bets, weak dollar",gold firms as dollar continues slide,gold gains as u.s. stimulus and vaccine hopes dent dollar,#N/A,#N/A
503,280,12/04/2020,1839.3,gold eases but on track for first weekly gain in four weeks,"gold heads for weekly gain on muted dollar, u.s. stimulus bets",gold set for weekly gain as u.s. stimulus hopes dent dollar,#N/A,#N/A,#N/A
504,279,12/07/2020,1864,gold near 2-week high as rising covid-19 cases boost u.s. stimulus hopes,gold jumps over 1% on u.s. stimulus bets,"gold slips on firmer dollar, vaccine rollout",gold rises as soft u.s. jobs data bolsters stimulus bets,#N/A,#N/A
505,278,12/08/2020,1870.2,gold slips on promising vaccine news; u.s. stimulus talks in focus,gold hits 2-week high as investors eye fresh u.s. fiscal support,gold holds near 2-week peak on stimulus hopes,gold hits two-week peak on u.s. stimulus bets,#N/A,#N/A
506,277,12/09/2020,1834.3,gold dips as u.s. stimulus remains elusive,gold slumps over 2% as vaccines spark economic optimism,gold falls 1% as equities extend rally on vaccine optimism,gold slips from 2-week high as equities climb on vaccine optimism,#N/A,#N/A
507,276,12/10/2020,1836.77,gold inches up as recovery concerns offset u.s. stimulus uncertainty,gold reverses gains as investors look past weak u.s. jobs data,gold falls as investors fret over u.s. stimulus delay,#N/A,#N/A,#N/A
508,275,12/11/2020,1839.44,gold gains as investors bank on eventual u.s. stimulus,"gold flat as dollar ticks higher, u.s. stimulus talks drag",gold dips as investors wary over u.s. stimulus delay,#N/A,#N/A,#N/A
509,274,12/14/2020,1827.6,gold steadies as surging covid-19 cases offset vaccine roll-outs,gold slips on u.s. vaccine fillip for economic outlook,gold falls 1% as u.s. vaccine rollout boosts economic outlook,gold dips as vaccine rollouts dent appeal,gold falls as vaccine rollouts lessens safe-haven demand,#N/A
510,273,12/15/2020,1852.5,gold eases as vaccine rollouts expand; fed meet eyed,gold up more than 1% on renewed hopes of u.s. stimulus,gold gains as covid-19 cases fuel stimulus expectations,gold gains as surging covid-19 cases fuel stimulus bets,#N/A,#N/A
511,272,12/16/2020,1864.46,gold near 1-week high on growing prospects of u.s. stimulus,gold climbs on u.s. stimulus hopes post fed statement,gold rises as focus turns to fed policy decision,"gold hits 1-week high on u.s. stimulus bets, fed decision eyed",#N/A,#N/A
512,271,12/17/2020,1883.74,gold set for third straight weekly gain on u.s. stimulus hopes,"gold climbs over 1% on u.s. stimulus bets, dipping dollar","gold jumps 1% on dollar slide, u.s. stimulus progress",gold gains as u.s. stimulus deal progress dents dollar,#N/A,#N/A
513,270,12/18/2020,1881.26,"gold slips as dollar firms, while investors await stimulus",gold edges lower from one-month high as dollar ticks up,gold set for third weekly gain as traders eye u.s. fiscal stimulus,#N/A,#N/A,#N/A
514,269,12/21/2020,1879.12,"gold inches higher on u.s. stimulus deal, covid-19 jitters",gold eases as new coronavirus strain rattles markets,gold turns negative as dollar strengthens on new virus strain,"gold jumps on u.s. stimulus deal cheer, virus lockdowns",#N/A,#N/A
515,268,12/22/2020,1864.4,gold inches higher on hopes of further u.s. stimulus,gold falls as fears over new virus variant boost dollar,gold falls as dollar holds firm on new virus strain fears,gold eases as stronger dollar offsets u.s. stimulus aid boost,#N/A,#N/A
516,267,12/23/2020,1872.74,gold steadies as soft u.s. jobs data offsets trump stimulus threat,gold prices jump 1% as dollar edges lower,gold edges up as dollar dips on trump threat to stimulus bill,gold rises despite trump stimulus threat as dollar weakens,#N/A,#N/A
517,266,12/24/2020,1866.66,"gold gains on stimulus hopes, muted dollar after brexit deal",gold rises on weaker dollar as market eyes brexit deal,"gold rises on weaker dollar, stimulus hopes",#N/A,#N/A,#N/A
518,265,12/28/2020,1877.1,gold rises as dollar softens; u.s. senate vote on increased aid eyed,"gold pares gains on dollar rebound, upbeat risk sentiment","gold pares gains as stock markets climb, dollar steadies",gold hits one-week high on u.s. pandemic aid cheer,#N/A,#N/A
519,264,12/29/2020,1878.76,gold flat amid doubts about increased u.s. pandemic aid checks,gold gains on hopes of increased u.s. pandemic aid,gold rises as dollar dips on prospect of higher u.s. aid,gold gains as dollar weakens ahead of u.s. senate stimulus vote,#N/A,#N/A
520,263,12/30/2020,1895.1,gold on course for best year in a decade,gold firms as dollar slides to multi-year low,gold steady as uk vaccine approval counters faltering dollar,gold rises as dollar weakens despite delayed u.s. stimulus vote,#N/A,#N/A
521,262,12/31/2020,1898.6,gold set to end volatile 2020 with strong gains; silver outperforms,"graphic-after golden year for precious metals, silver set to shine in 2021",gold set for strongest year since 2010,gold prices on track for best year in a decade,#N/A,#N/A
522,782,01/04/2021,1941.85,"gold eases off 8-week high, georgia elections in focus",gold jumps more than 2% as dollar sags,gold begins 2021 with 2% jump as dollar falters,gold hits 8-week high as tighter virus lockdowns loom,"rpt-graphic-after golden year for precious metals, silver set to shine in 2021",#N/A
523,781,01/05/2021,1950.4,gold inches up on weak dollar; focus on georgia runoffs outcome,gold gains on weak dollar as focus turns to georgia runoffs,gold hits two-month peak as investors brace for u.s. senate runoffs,gold inches down as dollar recovers; focus turns to georgia race,#N/A,#N/A
524,780,01/06/2021,1924.34,gold rises as democrat sweep in u.s. senate race lifts stimulus hopes,"gold slides more than 2% as dollar rebounds, treasury yields jump",gold retreats as dollar stems slide; investors await u.s. senate verdict,"gold near 2-month peak on soft dollar, u.s. verdict in focus",#N/A,#N/A
525,779,01/07/2021,1916.69,gold edges up on stimulus prospects under biden administration,gold falls on firmer dollar and u.s. yields,gold slips as rallying u.s. yields dull appeal,gold firms as democrat-led u.s. senate boosts stimulus hopes,#N/A,#N/A
526,778,01/08/2021,1849.15,"gold, silver slump as u.s. political risks fade, yields gain","gold buckles under firmer dollar, bond yields ahead of payroll data","gold inches lower as rising yields, stronger dollar weigh",#N/A,#N/A,#N/A
527,777,01/11/2021,1847.34,"gold steadies as weaker stocks offset stronger dollar, bond yields",gold eases as dollar strengthens on stimulus hopes,gold near six-week low as firmer dollar weighs,"gold off 6-week low, but stronger dollar, yields weigh",#N/A,#N/A
528,776,01/12/2021,1858.6,"gold inches higher as dollar, treasury yields pull back","gold rises as dollar, u.s. treasury yields slip",gold rebounds as focus returns to inflation risks,"gold gains as stocks dip on washington woes, slow vaccine rollouts",#N/A,#N/A
529,775,01/13/2021,1848.2,gold rises on inflation bets ahead of biden unveiling stimulus,gold steady as investors bet on more stimulus-led inflation,gold eases as dollar ticks higher; markets eye stimulus details,#N/A,#N/A,#N/A
530,774,01/14/2021,1847.22,gold edges up on biden's stimulus proposal,gold gains on dovish comments from fed's powell,gold on back foot ahead of biden's u.s. stimulus plan,gold retreats as treasury yields gain ahead of biden's stimulus reveal,#N/A,#N/A
531,773,01/15/2021,1827.63,gold falls 1% as dollar accelerates rally,gold steadies as firm dollar offsets tighter lockdown impact,"gold rises on u.s. stimulus plans, dovish fed stance",#N/A,#N/A,#N/A
532,772,01/18/2021,1837.31,gold ticks up as stimulus hopes outweigh firmer dollar,gold recovers as u.s. stimulus hopes buoy appeal,gold edges higher off 1-1/2 month low despite buoyant dollar,gold gains as u.s. stimulus prospects offset firm dollar,#N/A,#N/A
533,771,01/19/2021,1841.07,gold rises as u.s. dollar weakens on yellen's stimulus view,gold firms on weaker dollar as investors gauge yellen's views,gold gains as dollar weakens ahead of yellen speech,gold inches higher as u.s. dollar eases off one-month peak,#N/A,#N/A
534,770,01/20/2021,1870.02,gold off 2-week high as investors book profits,gold gains over 1% as focus turns to biden administration,gold rises as dollar dips on yellen's call for bold stimulus action,gold gains as dollar weakens on u.s. stimulus outlook,#N/A,#N/A
535,769,01/21/2021,1869.7,"gold dips as yields rise, but eyes best week in five",gold slips on profit taking; stimulus bets limit losses,gold steadies near 2-week high on dollar retreat,gold hits 2-week high as u.s. stimulus hopes pressure dollar,#N/A,#N/A
536,768,01/22/2021,1856.06,gold falls more than 1% on firm dollar but on course for weekly gain,gold slips as dollar firms but still set for first weekly gain in three,"gold slips as yields gain, but set for best week in five",#N/A,#N/A,#N/A
537,767,01/25/2021,1855.55,"gold inches lower on firmer dollar, u.s. stimulus worries",gold pares gains as the dollar edges higher,"gold firms as dollar, yields ease; biden stimulus plan in focus",gold eases on doubts over u.s. stimulus passage,#N/A,#N/A
538,766,01/26/2021,1851.36,gold steady ahead of u.s. fed policy decision,"gold edges down on u.s. stimulus worries, softer dollar limits losses",gold eases on firm dollar ahead of u.s. fed meeting,"gold falls on firmer dollar, u.s. stimulus concerns",#N/A,#N/A
539,765,01/27/2021,1839.75,gold slips as investors prefer safety of dollar,"gold hits more than 1-week low on doubts over stimulus bill, firm dollar",gold slips as dollar rebounds ahead of u.s. fed verdict,gold range-bound as focus shifts to fed policy decision,#N/A,#N/A
540,764,01/28/2021,1844,"gold set to post weekly, monthly decline on firmer dollar",silver lights up as traders seek cover from attempted squeeze,gold dips as dollar becomes preferred safe-haven,gold falls as safe-haven appeal shifts to dollar,#N/A,#N/A
541,763,01/29/2021,1844.13,silver extends golden run as retail frenzy persists,silver extends golden run as retail frenzy jitters linger,gold set to end month lower as u.s. dollar firms,#N/A,#N/A,#N/A
542,762,02/01/2021,1857.36,silver slips from 8-year peak as investors book profits,silver scales 8-year peak as retail blitz continues,silver scales 8-year peak as investors keep up feverish buying,retail mania propels silver prices to near 8-year peak,#N/A,#N/A
543,761,02/02/2021,1836.48,silver attempts rebound even as retail sweep wanes,silver slides as retail rush retreats,silver slides from 8-year peak as retail frenzy fizzles out,silver retreats from 8-year peak as retail surge loses steam,silver drops over 4% as retail buying frenzy pauses,#N/A
544,760,02/03/2021,1834.36,"gold, silver edge lower as firm dollar weighs",silver edges back up as market looks past retail swings,silver claws back momentum as market looks past retail-led gyrations,silver bounces back even as retail frenzy takes a break,#N/A,#N/A
545,759,02/04/2021,1795.54,"gold inches up, but set for worst week in ten","gold breaks below $1,800 as dollar, yields gain",gold and silver retreat as dollar gains upper hand,"gold, silver slide as dollar climbs to 2-month peak",#N/A,#N/A
546,758,02/05/2021,1814.25,"gold gains as dollar retreats, u.s. jobs report signals slow recovery","gold set for worst week in four on strength in dollar, yields",gold faces worst week in four; silver set for weekly decline,#N/A,#N/A,#N/A
547,757,02/08/2021,1830.61,"gold edges up on softer dollar, u.s. stimulus hopes",gold rises more than 1% on expectations of large u.s. stimulus package,gold rises as investors focus on big u.s. stimulus bets,"gold gains on weaker dollar, u.s. stimulus hopes",#N/A,#N/A
548,756,02/09/2021,1836.25,"gold inches up on weaker dollar, stimulus hopes","gold rises as dollar slips, stimulus bets grow","gold hits one-week high as dollar slides, platinum extends gains",#N/A,#N/A,#N/A
549,755,02/10/2021,1842.08,gold eases as soft inflation data dents appeal,"platinum scales 6-year peak, palladium jumps on auto-recovery bets",platinum hits 6-year peak; gold gains as dollar stumbles,"gold firms on faltering dollar, stimulus hopes",#N/A,#N/A
550,754,02/11/2021,1826.82,gold heads for best week in three on dollar weakness,"gold dips 1% as dollar steadies, platinum eases off 6-year peak",platinum at over 6-year peak as markets bet on auto recovery,"gold inches lower on dollar recovery, softer u.s. inflation data",#N/A,#N/A
551,753,02/12/2021,1824.77,gold eases as dollar ticks up; platinum set for over 10% weekly gain,gold slips on dollar rebound; platinum rally pauses,"gold eases as dollar ticks up, still on track for best week in three",#N/A,#N/A,#N/A
552,752,02/15/2021,1818.73,platinum rallies for third day on economic rebound hopes,brighter demand outlook powers platinum to six-year high,economic recovery bets push platinum to over six-year peak,#N/A,#N/A,#N/A
553,751,02/16/2021,1788.48,"gold drops to near 2-week low as dollar, treasury yields rise",gold prices slump on rising yields while platinum retreats,platinum takes a breather after hitting 6-1/2-year peak,platinum rally pauses after scaling 6-1/2-year high,#N/A,#N/A
554,750,02/17/2021,1778.27,gold recovers from over 2-month low as treasury yields retreat,"gold slips to over 2-month low on rising yields, dollar","gold sags on strong u.s. bond yields, firmer dollar","gold under pressure as u.s. treasury yields rise, dollar firms",#N/A,#N/A
555,749,02/18/2021,1771.52,gold faces worst week in 12 as u.s. treasury yields firm,gold holds near multi-month lows as u.s. yields advance,gold edges up as dollar and treasury yields ease,gold off 2-1/2 month low as u.s. treasury yields retreat,#N/A,#N/A
556,748,02/19/2021,1784.28,gold recovers from 7-month low but on course for weekly drop,gold slides to more than 7-month low as strong yields sap appeal,gold hits lowest in more than 7 months as rising yields dent appeal,#N/A,#N/A,#N/A
557,747,02/22/2021,1810.67,gold hovers near 1-week peak as treasury yields retreat,"gold jumps 1.5% on inflation concerns, softer dollar",gold off 7-month low as dollar weakness outweighs firmer yields,#N/A,#N/A,#N/A
558,746,02/23/2021,1805.99,gold gains as fed chair powell defends loose monetary policy,"gold eases as dollar recovers lost ground, investors gauge powell testimony",gold eases as dollar firms and investors await powell testimony,"gold scales 1-week high as dollar falters, yields ease",#N/A,#N/A
559,745,02/24/2021,1803.1,gold eases as firmer u.s. treasury yields weigh,gold subdued as u.s. treasury yields stay elevated,gold holds in tight range after powell policy comments,"gold rises on dollar weakness, powell's dovish comments",#N/A,#N/A
560,744,02/25/2021,1770.69,gold eyes second straight weekly fall as u.s. yields gain,gold slides more than 2% as u.s. treasury yields rise,gold falls 1% as elevated u.s. yields hit safe haven appeal,gold slips as higher u.s. treasury yields dim appeal,#N/A,#N/A
561,743,02/26/2021,1734.78,"gold slumps as rising u.s. yields, dollar dull lustre",gold set for second monthly dip as high u.s. yields erode appeal,gold hits 8-month trough as u.s. treasury yields rally,#N/A,#N/A,#N/A
562,742,03/01/2021,1724.58,gold prices edge higher as u.s. treasury yields retreat,gold slips as sturdy dollar and shares dent appeal,"gold rebounds on u.s. stimulus, softer yields","gold rises over 1% on weaker dollar, u.s. stimulus cheer",#N/A,#N/A
563,741,03/02/2021,1736.76,gold inches lower as firm u.s. treasury yields weigh,"gold rebounds as u.s. dollar, yields slip",gold edges up as u.s. yields soften,"gold prices at 8-1/2-month low on firmer dollar, higher yields",#N/A,#N/A
564,740,03/03/2021,1710.53,"gold recovers from 9-month low, but higher yields weigh","gold slides to 9-month low as rising bond yields, dollar dim appeal",gold slips as u.s. bond yields and equities dull its appeal,gold prices under pressure on firm u.s. treasury yields,#N/A,#N/A
565,739,03/04/2021,1694.46,"gold sinks to 9-month low as fed remarks boost dollar, bond yields","gold crumbles under rising yields, dollar; hits 9-month low",gold rises as easing bond yields offset firm dollar,"gold prices off 9-month low, but pressured by rising bond yields",#N/A,#N/A
566,738,03/05/2021,1701.06,"gold holds near 9-month low as yields, dollar gain further","gold slides to 9-month low as high yields, dollar dull appeal",gold slides to 9-month low as powell's remarks make yields rally,#N/A,#N/A,#N/A
567,737,03/08/2021,1684.71,"gold holds near 9-month low on stronger dollar, higher u.s. yields","gold slumps to 9-month trough as yields, dollar rally continues","gold falls 1% as elevated u.s. yields, strong dollar dull appeal","gold rebounds from 9-month trough on u.s. stimulus, lower bond yields",#N/A,#N/A
568,736,03/09/2021,1715.85,"gold rises on weaker u.s. treasury yields, dollar","gold rebounds as dollar, u.s. yields pull back",gold recovers from 9-month low as u.s. yields retreat,#N/A,#N/A,#N/A
569,735,03/10/2021,1726.78,gold slips from 1-week peak as rising u.s. bond yields weigh,gold recoups losses as u.s. yields slip after cpi data,"gold under pressure as u.s. yields, dollar firm","gold falls as u.s. yields, dollar advance",#N/A,#N/A
570,734,03/11/2021,1722.8,"gold edges higher; eyes best week in seven as yields, dollar dip",gold slips off 1-week peak as bond yields bounce back,"gold gains for third day as bond yields, dollar retreat","gold scales one-week high as u.s. yields, dollar ease",#N/A,#N/A
571,733,03/12/2021,1727.11,gold firms on dollar retreat; set for best week in seven,gold dips 1% as u.s. dollar and yields regain footing,"gold drops on firmer u.s. yields, but set for best week in 4",#N/A,#N/A,#N/A
572,732,03/15/2021,1730.7,gold inches lower ahead of u.s. fed policy meet,"gold edges up as yields ease, focus turns to fed meeting",gold edges up on inflation bets as fed meeting looms,gold sheds gains on hopes of swift recovery after china data,#N/A,#N/A
573,731,03/16/2021,1731.75,gold holds below 2-week high as investors await fed decision,gold eases on firmer dollar; fed verdict eyed,"gold firms as dollar, yields retreat; palladium hits 1-year high",gold gains as u.s. treasury yields slip ahead of fed meeting,#N/A,#N/A
574,730,03/17/2021,1748.62,gold gains after fed maintains easy monetary policy stance,gold rises 1% after fed reaffirms dovish stance,gold subdued as yields rise ahead of u.s. fed decision,gold firms in run-up to fed decision,#N/A,#N/A
575,729,03/18/2021,1735.72,"gold extends losses as u.s. bond yields firm, dollar rebounds",gold slips as u.s. yields spike; palladium at 1-year peak,gold slips from more than two-week peak as u.s. yields surge,gold touches over 2-week high after fed pledges to keep rates low,#N/A,#N/A
576,728,03/19/2021,1745.31,"gold up, heads for second weekly rise as dollar eases off session high",gold firms on dollar and u.s. bond yield retreat,"gold rebounds as dollar, u.s. bond yields drift lower",#N/A,#N/A,#N/A
577,727,03/22/2021,1739.57,"gold eases as strong equities, dollar weigh",gold slips as wall street gains sour appeal,gold slips as investors pile into u.s. dollar on turkish tumult,gold prices slide 1% as turkey upheaval buoys u.s. dollar,#N/A,#N/A
578,726,03/23/2021,1727.21,gold eases as dollar surges on powell's reassurance on inflation,gold slips as stronger dollar prevails over easing yields,"gold holds steady as investors await cues from powell, yellen",gold steadies as market awaits powell remarks,#N/A,#N/A
579,725,03/24/2021,1734.58,gold flat as dollar advances on rising europe virus woes,"gold shrugs off higher yields, dollar after powell testimony","gold ticks up on lower u.s. yields, european lockdowns",gold gains on lower u.s. yields even as dollar holds firm,#N/A,#N/A
580,724,03/25/2021,1727.61,gold faces first weekly decline in three as u.s. dollar rallies,"gold falls as yields tick up, dollar firms",corrected-gold gains in tug-of-war between lower yields and firm dollar,gold slips as dollar strength offsets europe lockdown worries,gold steady as stronger dollar counters europe virus worries,#N/A
581,723,03/26/2021,1732.63,"gold set for first weekly dip in three weeks on higher dollar, yields","gold set for first weekly fall in three on firmer dollar, yields",gold set to face first weekly decline in three on dollar strength,#N/A,#N/A,#N/A
582,722,03/29/2021,1712.04,gold hovers near 2-week low as u.s. dollar rallies,"gold slides over 1% as dollar, yields advance","gold slips as firmer dollar, recovery hopes dent appeal",gold on back foot as firm u.s. dollar weighs,#N/A,#N/A
583,721,03/30/2021,1685.57,gold faces headwinds from strong china factory data,gold slides 2% to near 3-week trough as u.s. yields surge,gold slides more than 1% to 3-week low as u.s. yields climb,"gold prices at over 2-week low as u.s. yields firm, dollar strengthens",#N/A,#N/A
584,720,03/31/2021,1707.5,"gold prices edge up on new virus strain, stimulus-led inflation woes","gold rises on softer dollar, but set for worst quarter in over 4 years","gold eyes worst quarter in over 4 years on stronger dollar, yields","gold set for worst quarter since 2016-end on robust dollar, yields",#N/A,#N/A
585,719,04/01/2021,1730.47,advisory-no precious metals market report on april 2,"gold rises over 1% as dollar, yields retreat","gold rises as dollar rally pauses, yields ease",gold rebounds from three-week low as dollar rally pauses,#N/A,#N/A
586,718,04/02/2021,1730.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
587,717,04/05/2021,1729.42,"gold gains as dollar, u.s. treasury yields lose shine",gold inches lower as strong equities dim appeal,gold eases as stocks gain on robust u.s. jobs data,"corrected-gold prices slip as strong u.s. jobs data boosts dollar, yields",#N/A,#N/A
588,716,04/06/2021,1743.45,gold eases from 2-week high as economic recovery hopes grow,"gold scales over 1-week peak as u.s. dollar, yields ease","gold scales over 1-week peak on weaker dollar, yields",gold hits more than one-week peak as dollar and yields slip,#N/A,#N/A
589,715,04/07/2021,1736.97,gold prices slip as equities gain after fed minutes,gold edges lower on swift economic recovery bets,gold falls on swift economic recovery hopes; fed minutes eyed,gold slips as strong u.s. data dims safe-haven appeal,#N/A,#N/A
590,714,04/08/2021,1754.32,gold set for first weekly gain in three on weakening dollar,"gold firms near 1-month peak as dollar, u.s. yields retreat","gold hits 3-week peak as fed's dovish tone pressures dollar, yields","gold gains as dollar, yields fall after u.s. fed maintains stance",#N/A,#N/A
591,713,04/09/2021,1744.2,gold slips on buoyant bond yields; set for weekly gain,"gold retreats over 1%, but still on course for weekly gain",gold dips after promising china data; set for weekly rise,#N/A,#N/A,#N/A
592,712,04/12/2021,1732.13,"gold edges lower as firmer bond yields, recovery hopes weigh",gold slips as firmer u.s. yields pinch appeal,gold eases as u.s. yields hold firm; inflation data in focus,"gold slips as treasury yields, dollar firm on higher inflation prospects",#N/A,#N/A
593,711,04/13/2021,1746.64,gold edges higher as dollar dwindles after u.s. inflation data,"gold gains ground on strong u.s. inflation data, weaker dollar",gold slips to one-week low on higher treasury yields,"gold retreats on firm dollar, yields; u.s. inflation data eyed",#N/A,#N/A
594,710,04/14/2021,1736.65,"gold gains on weaker dollar; retail sales, jobless data eyed",gold falls as firmer treasury yields dull appeal,gold holds steady as equities rally offsets softer dollar,gold gives up early gains as firm bond yields offset weak dollar,#N/A,#N/A
595,709,04/15/2021,1763.95,gold flat as robust u.s. economic data counters lower yields,gold firms near more than 1-month high as yields retreat,"gold firms on softer dollar, yields; all eyes on u.s. data","gold rises as dollar, yields slip; u.s. economic data in focus",#N/A,#N/A
596,708,04/16/2021,1777.29,"gold heads for best week in 4 months on subdued dollar, yields",gold scales 7-week peak as u.s. yields retreat,gold hovers near 7-week peak as u.s. bond yields slip,#N/A,#N/A,#N/A
597,707,04/19/2021,1772.31,gold eases off seven-week high as u.s. bond yields rise,gold slips off 7-week peak as u.s. yields gain,"gold hits 7-week peak on easing dollar, u.s. yields","gold firms as softer u.s. dollar, yields lift appeal",#N/A,#N/A
598,706,04/20/2021,1776.69,"gold hovers near 7-week high on subdued u.s. dollar, yields",gold gains as u.s. treasury yields ease,gold edges up on weaker dollar and u.s. yields,gold eases off seven-week peak as u.s. yields rebound,#N/A,#N/A
599,705,04/21/2021,1793.71,"gold hovers near eight-week high on easing u.s. dollar, yields","supply woes push palladium to record high, gold up more than 1%",gold gains as easing u.s. treasury yields boost appeal,"gold gains as softer u.s. dollar, yields lift appeal",#N/A,#N/A
600,704,04/22/2021,1783.23,"gold set for third straight weekly gain as u.s. yields, dollar pull back",gold slips 1% as stronger u.s. dollar weighs,"gold slips from 2-month peak, palladium holds near record high","gold nears $1,800 level as u.s. dollar, yields lose ground",#N/A,#N/A
601,703,04/23/2021,1777.11,"palladium extends record run, gold dips on strong u.s. data","gold heads for third weekly gain on lower yields, weaker dollar","gold heads for weekly rise on subdued u.s. treasury yields, dollar",#N/A,#N/A,#N/A
602,702,04/26/2021,1780.14,gold steadies as focus turns to fed meeting,"palladium extends record run, gold steadies ahead of fed",gold firms on weaker dollar; palladium holds near record high,"gold gains as rising virus cases, easing dollar boost safe-haven appeal",#N/A,#N/A
603,701,04/27/2021,1775.5,gold falls as u.s. treasury yields firm; all eyes on fed rate decision,"under-supplied palladium races to record, gold awaits fed","gold steady ahead of fed meeting, palladium scales record peak",gold steady as market awaits fed policy meeting,#N/A,#N/A
604,700,04/28/2021,1784.09,gold gains after u.s. fed maintains accommodative stance,"gold gains ground as yields, dollar dip after fed holds rates",gold slips to 1-week low as yields rise ahead of fed,gold hits 1-week low as yields rise ahead of fed statement,#N/A,#N/A
605,699,04/29/2021,1773.38,gold edges lower as firmer u.s. yields pinch appeal,gold stumbles as u.s. yields rise; palladium notches fresh record,gold retreats as u.s. yields rise; eyes on u.s. gdp data,gold turns negative as dollar strengthens; focus on u.s. gdp data,#N/A,#N/A
606,698,04/30/2021,1768.91,"palladium surpasses $3,000 for first time on supply shortfall","palladium tops $3,000 for first time amid undersupply",gold prices face worst week in month on strong u.s. data,#N/A,#N/A,#N/A
607,697,05/03/2021,1792.68,"gold prices ease off 2-month peak on firm dollar, powell's comments","gold rises over 1% as retreat in dollar, yields boost allure","gold rises as u.s. dollar, treasury yields retreat","gold gains as rising virus cases, pullback in u.s. yields lift demand",#N/A,#N/A
608,696,05/04/2021,1778.59,gold flat as yellen's comments on rates counter muted dollar,"palladium hits record high on strained supplies, gold dips 1%",palladium extends record run on supply shortfall,gold falls from 2-mth high as dollar strength dents safe-haven appeal,#N/A,#N/A
609,695,05/05/2021,1785.4,gold subdued on firmer dollar; focus on u.s. jobs report,"gold firms as u.s. yields ease, palladium hovers below record peak",gold eases on firm dollar; palladium hovers near record,gold prices ease as firmer dollar dampens safe-haven appeal,#N/A,#N/A
610,694,05/06/2021,1814.86,"gold hovers near 2-1/2-month high on weaker u.s. dollar, bond yields","gold races past $1,800/oz as bond yields, dollar slide",gold gains as dollar retreats; investors await u.s. data,"gold gains as subdued u.s. dollar, bond yields lift appeal",#N/A,#N/A
611,693,05/07/2021,1831.43,gold notches best week in 6 months on u.s. jobs data miss,"gold eyes best week in 6 months on lower dollar, treasury yields","gold heads for best week in 6 months on softer dollar, yields",#N/A,#N/A,#N/A
